Ort,Datum,Wert
Poblenou,2019-04-28 16,NA
Poblenou,2019-04-28 17,NA
Poblenou,2019-04-28 18,NA
Poblenou,2019-04-28 19,NA
Poblenou,2019-04-28 20,NA
Poblenou,2019-04-28 21,NA
Poblenou,2019-04-28 22,NA
Poblenou,2019-04-28 23,NA
Poblenou,2019-04-28 24,NA
Poblenou,2019-04-29 01,9
Poblenou,2019-04-29 02,5
Poblenou,2019-04-29 03,6
Poblenou,2019-04-29 04,6
Poblenou,2019-04-29 05,8
Poblenou,2019-04-29 06,12
Poblenou,2019-04-29 07,25
Poblenou,2019-04-29 08,43
Poblenou,2019-04-29 09,66
Poblenou,2019-04-29 10,66
Poblenou,2019-04-29 11,73
Poblenou,2019-04-29 12,68
Poblenou,2019-04-29 13,57
Poblenou,2019-04-29 14,31
Poblenou,2019-04-29 15,22
Poblenou,2019-04-29 16,18
Poblenou,2019-04-29 17,18
Poblenou,2019-04-29 18,27
Poblenou,2019-04-29 19,45
Poblenou,2019-04-29 20,38
Poblenou,2019-04-29 21,41
Poblenou,2019-04-29 22,42
Poblenou,2019-04-29 23,32
Poblenou,2019-04-29 24,30
Poblenou,2019-04-30 01,24
Poblenou,2019-04-30 02,34
Poblenou,2019-04-30 03,28
Poblenou,2019-04-30 04,26
Poblenou,2019-04-30 05,27
Poblenou,2019-04-30 06,33
Poblenou,2019-04-30 07,48
Poblenou,2019-04-30 08,57
Poblenou,2019-04-30 09,75
Poblenou,2019-04-30 10,61
Poblenou,2019-04-30 11,51
Poblenou,2019-04-30 12,28
Poblenou,2019-04-30 13,25
Poblenou,2019-04-30 14,20
Poblenou,2019-04-30 15,25
Poblenou,2019-04-30 16,28
Poblenou,2019-04-30 17,39
Poblenou,2019-04-30 18,35
Poblenou,2019-04-30 19,33
Poblenou,2019-04-30 20,39
Poblenou,2019-04-30 21,38
Poblenou,2019-04-30 22,34
Poblenou,2019-04-30 23,28
Poblenou,2019-04-30 24,24
Sants,2019-04-02 01,29
Sants,2019-04-02 02,30
Sants,2019-04-02 03,34
Sants,2019-04-02 04,36
Sants,2019-04-02 05,49
Sants,2019-04-02 06,68
Sants,2019-04-02 07,76
Sants,2019-04-02 08,82
Sants,2019-04-02 09,88
Sants,2019-04-02 10,88
Sants,2019-04-02 11,63
Sants,2019-04-02 12,35
Sants,2019-04-02 13,21
Sants,2019-04-02 14,18
Sants,2019-04-02 15,16
Sants,2019-04-02 16,17
Sants,2019-04-02 17,15
Sants,2019-04-02 18,18
Sants,2019-04-02 19,18
Sants,2019-04-02 20,25
Sants,2019-04-02 21,26
Sants,2019-04-02 22,32
Sants,2019-04-02 23,32
Sants,2019-04-02 24,13
Sants,2019-04-03 01,15
Sants,2019-04-03 02,21
Sants,2019-04-03 03,19
Sants,2019-04-03 04,18
Sants,2019-04-03 05,21
Sants,2019-04-03 06,18
Sants,2019-04-03 07,28
Sants,2019-04-03 08,48
Sants,2019-04-03 09,49
Sants,2019-04-03 10,44
Sants,2019-04-03 11,34
Sants,2019-04-03 12,23
Sants,2019-04-03 13,23
Sants,2019-04-03 14,22
Sants,2019-04-03 15,19
Sants,2019-04-03 16,23
Sants,2019-04-03 17,33
Sants,2019-04-03 18,35
Sants,2019-04-03 19,26
Sants,2019-04-03 20,29
Sants,2019-04-03 21,26
Sants,2019-04-03 22,27
Sants,2019-04-03 23,34
Sants,2019-04-03 24,39
Sants,2019-04-04 01,16
Sants,2019-04-04 02,13
Sants,2019-04-04 03,12
Sants,2019-04-04 04,13
Sants,2019-04-04 05,17
Sants,2019-04-04 06,19
Sants,2019-04-04 07,25
Sants,2019-04-04 08,29
Sants,2019-04-04 09,37
Sants,2019-04-04 10,27
Sants,2019-04-04 11,22
Sants,2019-04-04 12,21
Sants,2019-04-04 13,18
Sants,2019-04-04 14,27
Sants,2019-04-04 15,29
Sants,2019-04-04 16,31
Sants,2019-04-04 17,30
Sants,2019-04-04 18,26
Sants,2019-04-04 19,27
Sants,2019-04-04 20,36
Sants,2019-04-04 21,42
Sants,2019-04-04 22,46
Sants,2019-04-04 23,50
Sants,2019-04-04 24,62
Sants,2019-04-05 01,60
Sants,2019-04-05 02,50
Sants,2019-04-05 03,38
Sants,2019-04-05 04,36
Sants,2019-04-05 05,42
Sants,2019-04-05 06,48
Sants,2019-04-05 07,72
Sants,2019-04-05 08,83
Sants,2019-04-05 09,91
Sants,2019-04-05 10,89
Sants,2019-04-05 11,66
Sants,2019-04-05 12,86
Sants,2019-04-05 13,43
Sants,2019-04-05 14,22
Sants,2019-04-05 15,19
Sants,2019-04-05 16,18
Sants,2019-04-05 17,20
Sants,2019-04-05 18,20
Sants,2019-04-05 19,22
Sants,2019-04-05 20,28
Sants,2019-04-05 21,31
Sants,2019-04-05 22,35
Sants,2019-04-05 23,27
